id,name,lastFinancingDate,lastFinancingDealType,lastFinancingDealType2,lastFinancingSize,lastFinancingValuation,lastFinancingStatus,ownershipStatus,financingStatus,financingStatusNote,activeInvestors,acquirers,primaryIndustryCode,description,hqLocation,companyWebsite
1,Culinary Sciences,04-Mar-2024,Seed Round,Seed Round,2.39,10.39,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $2.39 million through a combination of Seed, and Seed-1 funding from undisclosed investors on March 4, 2024, putting the company's pre-money valuation at $8 million.",Plug and Play Tech Center,,Electrical Equipment,"Manufacturer of a rapid-chill food processing system designed for commercial kitchens and agriculture processing plants. The company utilizes vacuum cooling technologies to chill food faster and at a lower cost than traditional methods, enabling the food service and agriculture industries to improve food safety, reduce waste, and achieve significant energy savings.","Fremont, CA",www.culinarysciencescsi.com
2,Elephant Energy,11-Apr-2024,Seed Round,Seed Round,2.38,20.00,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $2.38 million of Seed-3 funding from undisclosed investors on April 11, 2024, putting the company's pre-money valuation at $17.62 million.","Building Ventures, Daniel Gulati, Reuben Munger, Workshop (US)",,Other Services (B2C Non-Financial),"Operator of home electrification services designed to improve home comfort and air quality with electric technologies. The company's products include heat pumps, electric cooking, electric vehicle charging, electric water heating, efficiency, and weatherization upgrades, enabling homeowners to confidently upgrade their home appliances and lower carbon emissions.","Broomfield, CO",elephantenergy.com
3,Enkrypt AI,27-Feb-2024,Seed Round,Seed Round,2.35,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $2.35 million of seed funding in a deal led by Boldcap on February 27, 2024. Kubera Venture Capital, Arkam Ventures, Builders Fund, Veredas Partners, Berkeley SkyDeck, and other undisclosed investors also participated in the round.","Arkam Ventures, Berkeley SkyDeck, Boldcap, Builders Fund, Kubera Venture Capital, Microsoft for Startups, Veredas Partners",,Business/Productivity Software,"Developer of a digital rights management platform designed to protect, allow, and monetize AI models. The company's platform specializes in ensuring the confidentiality and integrity of AI models by protecting them from potential threats using security technology, enabling clients to reliably scale while having their internet protocol protected.","Boston, MA",www.enkryptai.com
4,Vesal,15-Mar-2024,Seed Round,Seed Round,2.35,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $2.35 million of seed funding from Aviso Ventures & undisclosed investors on March 15, 2024.",Aviso Ventures,,Business/Productivity Software,"Developer of a bot management platform based in Seattle, Washington. The company is currently operating in stealth mode","Seattle, WA",www.vesal.io
5,TensorWave,23-Jan-2024,Seed Round,Seed Round,2.33,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $2.33 million of seed funding from StartupNV on January 23, 2024.",StartupNV,,Business/Productivity Software,"Developer of an AI compute cloud designed for AI Workloads. The company offers a single-node scaling feature that allows users to add many GPUs (up to 80) to a single node instead of splitting workloads across multiple nodes, helping clients reduce software complexity as users scale workloads.","Las Vegas, NV",www.tensorwave.com
6,CARI Health,09-Feb-2024,Seed Round,Seed Round,2.30,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $2.3 million of seed funding in the form of SAFE notes in a deal led by San Diego Angel Conference on February 9, 2024. Joa Capital, Device of Tomorrow Capital, NuFund, Cove Fund, EvoNexus, and Chemical Angel Network also participated in the round. The funds will be used for the company's wearable remote monitor to keep patients on life-saving medications.","Cedars Sinai Health Ventures, Chemical Angel Network, Cove Fund, Device of Tomorrow Capital, EvoNexus, Joa Capital, Matter (Consulting Services (B2B)), MedTech Innovator, National Institute on Drug Abuse (NIDA), National Institutes of Health, National Science Foundation, NuFund Venture Group, Rady Venture Fund, San Diego Angel Conference",,Monitoring Equipment,"Operator of a sensor-enabled digital health company intended to develop a remote medication monitor. The company's monitor consists of wireless sensors that are worn on the patient's skin and send data about real-time medication levels to the cloud, enabling clinicians to safely dose, titrate, and monitor adherence to life-saving medications.","San Diego, CA",www.carihealth.com
7,Proxy Foods,22-Mar-2024,Seed Round,Seed Round,2.30,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $2.3 million of seed funding from Theodore Leonsis, Ike Grigoropoulos and Ted Xenohristos on March 22, 2024. Robert G. Hisaoka, Dimitri Moshovitis, Anthony Nader, Fredrick Schaufeld, and other undisclosed investors also participated in the round. The funds will be used to build out the company's team of data scientists and software developers and further invest in its data stores.","Anthony Nader, Business Oregon, Dimitri Moshovitis, Fredrick Schaufeld, Lambros Grigoropoulos, Richard Ware, Robert G. Hisaoka, StartupHoyas, Theodore Leonsis, Theodore Xenohristos",,Business/Productivity Software,"Developer of food technology software designed to help food companies create alternative protein products using artificial intelligence. The company's platform offers AI-enabled solutions for food product developers, research and development teams and chefs, sensory and flavor scientists, and data-driven insights, enabling food companies to solve alternative proteins' flavor and texture challenges via computational modeling and machine learning.","Washington, DC",www.proxyfoods.ai
8,QoreAI,27-Mar-2024,Seed Round,Seed Round,2.30,9.20,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $2.3 million of Seed funding from undisclosed investors on March 27, 2024, putting the company's pre-money valuation at $6.9 million. Previously, the company joined Vestbee as a part of AWS Global FinTech Accelerator program on December 14, 2023.",Vestbee,,Operating Systems Software,"Developer of an artificial intelligence-based collaborative operating system built for the modern automotive industry. The company provides software for identity verification, streamlined document management, and seamless credit processing, enabling dealerships to have a frictionless, transparent, and secure environment for both their staff and customers.","Orlando, FL",www.qoreai.com
9,Versatus,07-Mar-2024,Seed Round,Seed Round,2.30,50.00,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $2.3 million of seed funding from Republic, LBank Labs and MH Ventures on March 7, 2024, putting the company's pre-money valuation at $47.7 million. CSP DAO, NGC Ventures and Hyperithm also participated in the round.","Big Brain Holdings, CSP DAO, Hyperithm, Jump Crypto, LBank Labs, MH Ventures, NGC Ventures, Republic, Taureon (San Francisco)",,Other Financial Services,"Developer of blockchain technology designed to provide lightweight block mining and consensus algorithms for blockchains. The company's technology allows fast, decentralized, and fair validation of transactions and block mining, due to the lightweight nature of the algorithm, the launching and running of a node are simplified and made accessible for everyone, enabling users with a consensus algorithm that aims to solve many of the issues currently present with both proofs of work and proof of stake.","Coral Gables, FL",www.versatus.io
10,BenefitBay,09-Apr-2024,Seed Round,Series 2,2.25,17.25,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $2.25 million of Series 2 seed funding from undisclosed investors on April 9, 2024, putting the company's pre-money valuation at $15 million.","Atypical Ventures, Comeback Capital, G Ventures (VC), Invest Nebraska, Liquid 2 Ventures, Michael Derezin, Nebraska Angels, Nelnet, Oregon Venture Fund, Peregrine Ventures, Right Side Capital Management, Skypoint Ventures, Splash Capital, Treetop Ventures",,Life and Health Insurance,"Developer of an individual coverage health reimbursement arrangement administration platform designed to offer quick and simplified employee benefits. The company's platform facilitates employers to easily model, deploy, and oversee individual coverage health reimbursement arrangement plans, in full compliance with regulation and with full confidence, enabling employees to access the tools and support to select and enroll in the right plan.","Kansas City, MO",www.benefitbay.com
11,Pine Games,16-Jan-2024,Seed Round,Seed Round,2.25,10.00,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $2.25 million of pre-seed funding in a deal led by 500 Emerging Europe and Laton Ventures on January 16, 2024, putting the company's pre-money valuation at $7.75 million. Mert Gr also participated in the round. The funds will be used to make mobile games in Istanbul.","500 Emerging Europe, Laton Ventures, Mert Gr",,Entertainment Software,"Developer of mobile games intended to create puzzle games tailored for a broad audience. The company's platform specializes in providing a variety of features including a series of lean puzzle games, and mobile games for players of all ages and interests, enabling users to get creative games and engaging games to enjoy and have satisfying gaming experiences.","Istanbul, Turkey",pinegames.com
12,ShortLoop,20-Feb-2024,Seed Round,Seed Round,2.25,10.00,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $2.25 million through a combination of Seed 1 and Seed 2 funding from undisclosed investors on February 20, 2024, putting the company's pre-money valuation at $7.75 million.",Y Combinator,,Business/Productivity Software,"Developer of an automated API platform intended to ship faster without downtime. The company's platform automatically creates up-to-date API collections, identifies dependencies across services, alerts clients of bad changes, and makes it possible to debug without logs, enabling users to have no manual effort and never go stale.","Lewes, DE",www.shortloop.dev
13,Byonyks Medical Devices,14-Mar-2024,Seed Round,Seed Round,2.20,60.00,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $2.2 million out of the targeted $4.5 million of seed funding from undisclosed investors on March 14, 2024, putting the company's pre-money valuation at $57.8 million.","Ignite - National Technology Fund, Mentors Fund",,Therapeutic Devices,"Developer of medical devices designed to enhance health standards. The company's platform develops healthcare devices using medical technology prototypes and offers healthcare therapies and portable dialysis machines, enabling patients to access high-quality, cost-effective dialysis care.","Itasca, IL",www.byonyks.com
14,Coba,30-Jan-2024,Seed Round,Seed Round,2.20,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $2.2 million of seed funding in a deal led by Switch Ventures and Alaya Capital on January 30, 2024. Topaz and 5 other investors also participated in the round. The funds will be used to Simplify Cross-border Financial Services in Latin America.","Acacia Venture Capital Partners, Alaya Capital, Banco Base, K Street Capital, Litquidity Capital, Switch Ventures, Topaz, Y Combinator",,Financial Software,"Developer of an online financial platform designed to help clients to transfer their money internationally. The company's platform allows its users access to US banking, and tax-compliant invoicing, enabling customers to convert their money to local currency.","Austin, TX",www.coba.ai
15,Evergrowth,15-Feb-2024,Seed Round,Seed Round,2.20,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $2.2 million of pre-seed funding in a deal led by Impellent Ventures and Practica Capital on February 15, 2024. Other undisclosed investor also participated in the round. The funds will be used to expand operations and its development efforts.","Impellent Ventures, Practica Capital",,Consulting Services (B2B),"Operator of a B2B revenue growth agency intended to support a B2B sales team. The company supports sales leaders with dedicated lead research teams, data-driven sales consulting, and SDR playbook expertise, enabling clients to build a sustainable revenue growth machine.","Vilnius, Lithuania",www.evergrowth.com
16,JOYhelps,15-Feb-2024,Seed Round,Seed Round,2.20,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $2.2 million of seed funding from undisclosed investors on February 15, 2024.",,,Other Healthcare Technology Systems,"Operator of an AI-driven success and well-being platform designed for university, college, and high school students to manage stress and anxiety. The company's platform offers tools to improve academic performance and build healthy relationships, enabling students to improve physical health and secure internships and jobs.","Elkhorn, WI",www.joyhelps.me
17,Peat,01-Feb-2024,Seed Round,Seed Round,2.20,8.00,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised an estimated $2.2 million through a combination of Seed-2, Seed-4, and Seed-5 funding from Clear Current Capital and other undisclosed investors on February 1, 2024, putting the company's pre-money valuation at $5.8 million. Previously, the The company joined Future Climate as part of it's second cohort on September 19, 2023. Concurrently, R/GA Ventures invested in the company.","A+ Accelerator, Brooklyn Bridge Ventures, Clear Current Capital, Climate Capital, Future Climate, MetaProp NYC, R/GA Ventures, ROC Venture Group, Scale Good Fund LP, Siddhi Capital",,Environmental Services (B2B),"Operator of a decentralized composting network intended to simplify the process of turning food scraps into compost. The company specializes in simplifying the process of upcycling food scraps in major urban markets by hauling food waste from food establishments and turning them into fresh mushrooms, offers transparent data, waste management, and hyperlocal and distributed models, enabling users to beautify the neighborhood and grow fresh produce.","New York, NY",www.peatfarming.com
18,Shimmer (Healthcare Services),10-Jan-2024,Seed Round,Seed Round,2.20,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $2.2 million of seed funding in a deal led by Work Life Ventures and SeedToB Capital on January 10, 2024. 10X Capital, Gaingels, Koa Labs and Agla Ventures also participated in the round. The funds will be used to work with provider, payor, and employer partners to reduce the out-of-pocket cost for members to access ADHD coaching.","10X Capital, Agla Ventures, Gaingels, Goodwater Capital, Google for Startups, Health Engine Accelerator, Honey Stone VC, Koa Labs, Megan Hall, Pillar VC, SeedToB Capital, StartX (US), Work Life Ventures, Y Combinator",,Other Healthcare Services,"Provider of a supportive community service intended for the well-being of younger adults mainly suffering from ADHD. The company's offerings include a dedicated one-to-one expert ADHD coach, weekly fifteen-minute laser-focused coaching sessions, focus actions tracked via the app, ongoing resources, accountability, and chat access with the coach, enabling people in the younger age group to be healthy and live happier lives.","San Francisco, CA",www.shimmer.care
19,Suma (Financial Services),06-Feb-2024,Seed Round,Seed Round,2.20,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $2.2 million of seed funding in a deal led by Radicle Impact on February 6, 2024. American Heart Association, Altalurra Ventures, Chingona Ventures, OVO Fund, Female Founders Fund, VamosVentures, Ulu Ventures, Gaingels and One World also participated in the round.","2045 Ventures, Altalurra Ventures, American Heart Association, Anna Barber, Arlan Hamilton, Backstage Capital, Carmen Palafox, Chingona Ventures, Everywhere Ventures, Female Founders Fund, Gaingels, Gale Wilkinson, Ilse Calderon, ImpactAssets, Ivelisse Simon, Kwanza Jones & Jos E. Feliciano Supercharged Initiative, Lolita Taub, Noramay Cadena, One World, OVO Fund, Portfolia, Radicle Impact, Raina Kumra, Samara Hernndez, Ulu Ventures, VamosVentures, VITALIZE Venture Capital",,Other Financial Services,"Developer of a digital platform designed to teach the Latino community how to build and sustain wealth. The company's platform uses the holistic approach of digital media, fin-tech, and virtual experiences to teach topics of investment, debt management, and creating and sustaining wealth, enabling clients in the Latino community to deal with their financial issues and get them resolved in a hassle-free manner.","Los Angeles, CA",www.sumawealth.com
20,Evidence IQ,23-Feb-2024,Seed Round,Seed Round,2.18,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $2.18 million of seed funding from undisclosed investors on February 23, 2024.",,,Media and Information Services (B2B),"Operator of a global forensic identification and evaluation company intended to serve all local, county, state and federal law enforcement agencies. The company leverages data from multiple sources in order to help departments visualize pattern-based crimes and potential crime hot spots, enabling agencies to significantly improve turnaround time for investigations.","Lemont, IL",www.evidenceiq.com
21,Lux Ice,14-Feb-2024,Seed Round,Seed Round,2.18,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $2.18 million of seed funding from undisclosed investors on February 14, 2024.",,,Beverages,"Producer of pure ice intended for restaurants, hotels, hospitals, healthcare, and hospitality industries. The company is engaged in the production and distribution of packaged ice and offers ice cubes, crushed ice, and ice products that are pourable and have an optimal grain size, enabling clients to use them for food cooling as well as in cocktails, decorations, and drinks.","Langhorne, PA",www.luxiceusa.com
22,Bench IQ,29-Feb-2024,Seed Round,Seed Round,2.10,5.64,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $2.1 million through a combination of debt, Seed-1, and Seed-2 funding in a deal led by Maple VC and Haystack Ventures on February 29, 2024, putting the company's pre-money valuation at $4 million. Cooley, Fenwick & West, Wilson Sonsini Goodrich & Rosati, Roach Capital, Jason Boehmig, Alumni Ventures, Soma Capital, and Qasar Younis also participated in the round.","Alumni Ventures, Cooley, Fenwick & West, Haystack Ventures, Jason Boehmig, Maple VC, Qasar Younis, Roach Capital, Soma Capital, Wilson Sonsini Goodrich & Rosati",,Media and Information Services (B2B),"Developer of an AI-powered assistant designed to provide unparalleled insights into judges' rulings. The company allows attorneys to uncover the reasons behind all of the judge's rulings, enabling attorneys to identify the best arguments and outmaneuver opposing counsel.","Toronto, Canada",www.benchiq.com
